[go_explore_solve] progress source: PPU scroll odometer (axis x)
[seed] RESUMED archive from runs/ng_odo_v2: 8329 cells, 8329 traces, max_area=0, max_sect=0, c_local=739
[seed] rooted at roms/Ninja Gaiden (USA)_start.state.bin wd=() lives=0 area=0; archive={"cells": 8329, "frontier": 8105, "best_score": 5838, "records": 1, "new_cells": 1, "improvements": 0}
[go_explore_solve] {"t": "2026-08-23T22:44:10", "elapsed_s": 2880, "cells": 32294, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4593200, "sps": 1595, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:45:10", "elapsed_s": 2940, "cells": 32607, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4686890, "sps": 1594, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:46:10", "elapsed_s": 3000, "cells": 32925, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4780990, "sps": 1594, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:47:10", "elapsed_s": 3060, "cells": 33277, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4874270, "sps": 1593, "stall_flat_windows": 0, "c_local": 773, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:48:10", "elapsed_s": 3120, "cells": 33644, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 4968140, "sps": 1592, "stall_flat_windows": 0, "c_local": 774, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.1179}
[go_explore_solve] {"t": "2026-08-23T22:49:10", "elapsed_s": 3180, "cells": 33868, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5066630, "sps": 1593, "stall_flat_windows": 0, "c_local": 775, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.1946}
[go_explore_solve] {"t": "2026-08-23T22:50:10", "elapsed_s": 3240, "cells": 34211, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5175380, "sps": 1597, "stall_flat_windows": 0, "c_local": 775, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:51:10", "elapsed_s": 3300, "cells": 34575, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5282160, "sps": 1601, "stall_flat_windows": 0, "c_local": 776, "c_local_band": 10, "c_local_delta": 1, "c_local_band_delta": 0, "c_local_elasticity": 0.1218}
[go_explore_solve] {"t": "2026-08-23T22:52:10", "elapsed_s": 3360, "cells": 34932, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5386230, "sps": 1603, "stall_flat_windows": 0, "c_local": 776, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:53:10", "elapsed_s": 3420, "cells": 35242, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5492660, "sps": 1606, "stall_flat_windows": 0, "c_local": 776, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
[go_explore_solve] {"t": "2026-08-23T22:54:10", "elapsed_s": 3480, "cells": 35505, "max_area": 0, "max_gx_in_max_area": 6144, "max_sect": 0, "solutions": 0, "best_sol_actions": null, "steps": 5594980, "sps": 1608, "stall_flat_windows": 0, "c_local": 776, "c_local_band": 10, "c_local_delta": 0, "c_local_band_delta": 0, "c_local_elasticity": 0.0}
