run,iter,tau,tau_max,trailing_succ,trailing_n,trailing_rate,at_entrance,entrance_succ_cum,entrance_n_cum,entrance_rate_cum,truncated_cum
v28_seed2,81,0,784,12,30,0.4,True,1252,3742,0.335,3358
v28_seed2,82,0,784,15,30,0.5,True,1278,3801,0.336,3388
v28_seed2,83,0,784,14,30,0.47,True,1312,3867,0.339,3416
v28_seed2,84,0,784,11,30,0.37,True,1327,3910,0.339,3451
v28_seed2,85,0,784,4,30,0.13,True,1357,3967,0.342,3472
v28_seed2,86,0,784,5,30,0.17,True,1379,4020,0.343,3495
v28_seed2,87,0,784,8,30,0.27,True,1405,4090,0.344,3513
v28_seed2,88,0,784,12,30,0.4,True,1434,4141,0.346,3531
v28_seed2,89,0,784,7,30,0.23,True,1458,4191,0.348,3562
v28_seed2,90,0,784,2,30,0.07,True,1486,4243,0.35,3580
v28_seed2,91,0,784,13,30,0.43,True,1513,4291,0.353,3595
v28_seed2,92,0,784,17,30,0.57,True,1546,4352,0.355,3612
v28_seed2,93,0,784,12,30,0.4,True,1579,4398,0.359,3633
v28_seed2,94,0,784,8,30,0.27,True,1608,4450,0.361,3650
v28_seed2,95,0,784,5,30,0.17,True,1632,4509,0.362,3674
v28_seed2,96,0,784,3,30,0.1,True,1659,4554,0.364,3693
v28_seed2,97,0,784,10,30,0.33,True,1683,4609,0.365,3711
v28_seed2,98,0,784,12,30,0.4,True,1709,4646,0.368,3729
v28_seed2,99,0,784,10,30,0.33,True,1736,4706,0.369,3751
v28_seed2,100,0,784,9,30,0.3,True,1762,4762,0.37,3775
v28_seed2,101,0,784,6,30,0.2,True,1791,4811,0.372,3799
v28_seed2,102,0,784,9,30,0.3,True,1816,4857,0.374,3821
v28_seed2,103,0,784,9,30,0.3,True,1843,4909,0.375,3846
v28_seed2,104,0,784,11,30,0.37,True,1874,4961,0.378,3870
v28_seed2,105,0,784,12,30,0.4,True,1895,5009,0.378,3898
v28_seed2,106,0,784,17,30,0.57,True,1927,5055,0.381,3927
v28_seed2,107,0,784,17,30,0.57,True,1948,5102,0.382,3961
v28_seed2,108,0,784,16,30,0.53,True,1969,5136,0.383,3988
v28_seed2,109,0,784,13,30,0.43,True,2001,5199,0.385,4011
v28_seed2,110,0,784,8,30,0.27,True,2023,5245,0.386,4036
v28_seed2,111,0,784,16,30,0.53,True,2059,5306,0.388,4054
v28_seed2,112,0,784,11,30,0.37,True,2085,5351,0.39,4075
v28_seed2,113,0,784,10,30,0.33,True,2115,5408,0.391,4098
v28_seed2,114,0,784,13,30,0.43,True,2138,5457,0.392,4128
v28_seed2,115,0,784,16,30,0.53,True,2162,5517,0.392,4153
v28_seed2,116,0,784,12,30,0.4,True,2190,5574,0.393,4184
v28_seed2,117,0,784,7,30,0.23,True,2214,5634,0.393,4213
v28_seed2,118,0,784,12,30,0.4,True,2246,5683,0.395,4239
v28_seed2,119,0,784,11,30,0.37,True,2265,5740,0.395,4268
v28_seed2,120,0,784,11,30,0.37,True,2292,5792,0.396,4296
v28_seed2,121,0,784,8,30,0.27,True,2317,5860,0.395,4319
v28_seed2,122,0,784,11,30,0.37,True,2338,5920,0.395,4346
v28_seed2,123,0,784,7,30,0.23,True,2368,5983,0.396,4370
v28_seed2,124,0,784,2,30,0.07,True,2390,6047,0.395,4393
v28_seed2,125,0,784,9,30,0.3,True,2415,6112,0.395,4421
v28_seed2,126,0,784,4,30,0.13,True,2438,6177,0.395,4450
v28_seed2,127,0,784,4,30,0.13,True,2460,6243,0.394,4475
v28_seed2,128,0,784,6,30,0.2,True,2480,6310,0.393,4506
v28_seed2,129,0,784,2,30,0.07,True,2503,6402,0.391,4537
v28_seed2,130,0,784,5,30,0.17,True,2520,6497,0.388,4574
v28_seed2,131,0,784,1,30,0.03,True,2534,6589,0.385,4610
v28_seed2,132,0,784,4,30,0.13,True,2549,6679,0.382,4643
v28_seed2,133,0,784,6,30,0.2,True,2569,6781,0.379,4675
v28_seed2,134,0,784,5,30,0.17,True,2585,6882,0.376,4709
v28_seed2,135,0,784,3,30,0.1,True,2600,7001,0.371,4744
v28_seed2,136,0,784,8,30,0.27,True,2617,7071,0.37,4784
v28_seed2,137,0,784,3,30,0.1,True,2634,7187,0.366,4817
v28_seed2,138,0,784,5,30,0.17,True,2646,7286,0.363,4860
v28_seed2,139,0,784,2,30,0.07,True,2652,7413,0.358,4906
v28_seed2,140,0,784,6,30,0.2,True,2662,7532,0.353,4950
v28_seed2,141,0,784,1,30,0.03,True,2667,7635,0.349,5001
v28_seed2,142,0,784,2,30,0.07,True,2674,7755,0.345,5048
v28_seed2,143,0,784,2,30,0.07,True,2682,7870,0.341,5097
v28_seed2,144,0,784,3,30,0.1,True,2687,7980,0.337,5153
v28_seed2,145,0,784,1,30,0.03,True,2692,8096,0.333,5207
v28_seed2,146,0,784,3,30,0.1,True,2696,8198,0.329,5257
v28_seed2,147,0,784,1,30,0.03,True,2702,8315,0.325,5308
v28_seed2,148,0,784,1,30,0.03,True,2703,8429,0.321,5363
v28_seed2,149,0,784,0,30,0.0,True,2708,8551,0.317,5418
v28_seed2,150,0,784,0,30,0.0,True,2712,8645,0.314,5474
v28_seed2,151,0,784,3,30,0.1,True,2717,8760,0.31,5527
v28_seed2,152,0,784,1,30,0.03,True,2719,8870,0.307,5582
v28_seed2,153,0,784,1,30,0.03,True,2722,8973,0.303,5635
v28_seed2,154,0,784,2,30,0.07,True,2726,9075,0.3,5689
v28_seed2,155,0,784,0,30,0.0,True,2731,9191,0.297,5741
v28_seed2,156,0,784,1,30,0.03,True,2733,9278,0.295,5800
v28_seed2,157,0,784,2,30,0.07,True,2735,9375,0.292,5856
v28_seed2,158,0,784,1,30,0.03,True,2739,9488,0.289,5909
v28_seed2,159,0,784,0,30,0.0,True,2740,9609,0.285,5966
v28_seed2,160,0,784,2,30,0.07,True,2744,9735,0.282,6017
v28_seed2,161,0,784,1,30,0.03,True,2746,9828,0.279,6073
v28_seed2,162,0,784,2,30,0.07,True,2752,9940,0.277,6125
v28_seed2,163,0,784,0,30,0.0,True,2755,10039,0.274,6181
v28_seed2,164,0,784,0,30,0.0,True,2756,10136,0.272,6239
v28_seed2,165,0,784,0,30,0.0,True,2757,10254,0.269,6294
v28_seed2,166,0,784,0,30,0.0,True,2758,10366,0.266,6353
v28_seed2,167,0,784,0,30,0.0,True,2758,10463,0.264,6409
v28_seed2,168,0,784,0,30,0.0,True,2759,10572,0.261,6469
v28_seed2,169,0,784,2,30,0.07,True,2761,10683,0.258,6525
v28_seed2,170,0,784,1,30,0.03,True,2761,10795,0.256,6584
v28_seed2,171,0,784,0,30,0.0,True,2761,10884,0.254,6641
v28_seed2,172,0,784,0,30,0.0,True,2762,10969,0.252,6700
v28_seed2,173,0,784,0,30,0.0,True,2762,11069,0.25,6759
v28_seed2,174,0,784,0,30,0.0,True,2762,11159,0.248,6819
v28_seed2,175,0,784,0,30,0.0,True,2762,11265,0.245,6878
v28_seed2,176,0,784,0,30,0.0,True,2763,11347,0.244,6937
v28_seed2,177,0,784,0,30,0.0,True,2763,11449,0.241,6997
v28_seed2,178,0,784,1,30,0.03,True,2763,11557,0.239,7057
v28_seed2,179,0,784,0,30,0.0,True,2763,11650,0.237,7117
v28_seed2,180,0,784,0,30,0.0,True,2763,11772,0.235,7177
v28_seed2,181,0,784,1,30,0.03,True,2763,11873,0.233,7237
v28_seed2,182,0,784,0,30,0.0,True,2763,11990,0.23,7297
v28_seed2,183,0,784,0,30,0.0,True,2763,12104,0.228,7356
v28_seed2,184,0,784,0,30,0.0,True,2763,12210,0.226,7416
v28_seed2,185,0,784,0,30,0.0,True,2763,12315,0.224,7476
v28_seed2,186,0,784,0,30,0.0,True,2763,12406,0.223,7536
v28_seed2,187,0,784,0,30,0.0,True,2763,12505,0.221,7596
v28_seed2,188,0,784,0,30,0.0,True,2763,12584,0.22,7656
v28_seed2,189,0,784,0,30,0.0,True,2763,12686,0.218,7716
