run,seed,generation,reward_forward,reward_completion,reward_time_penalty,ppo_entropy,success_rate,vanilla_ppo_clears,vanilla_ppo_in_progress,avg_fitness,best_fitness,episodes,mag_total,share_forward,share_completion,share_time_penalty,net_logged_reward,peak_iter
v27,seed0,76,2355.116666666667,24.166666666666668,-4.568833333333273,0.46270912885665894,0.3014705882352941,41,60,1725.3055593827191,4422.3125,136,2383.8521666666666,0.9879457709660828,0.010137653250729406,0.0019165757831878722,2374.7145,60
v27,seed0,77,1903.5166666666667,19.166666666666668,-3.80066666666662,0.48996466398239136,0.4152542372881356,49,60,1986.1815958831269,4301.30029296875,118,1926.484,0.9880781084434995,0.009949040151211569,0.00197285140528892,1918.8826666666669,60
v27,seed0,78,1976.1666666666667,16.666666666666668,-3.3358333333332975,0.5110782384872437,0.31851851851851853,43,60,1944.2781381112559,4422.7353515625,135,1996.1691666666668,0.9899795566758495,0.008349325771070672,0.0016711175530797768,1989.4975000000002,60
v27,seed0,79,1883.1333333333334,13.333333333333334,-4.015666666666616,0.46604734659194946,0.34782608695652173,40,60,1953.1416608727498,4303.88037109375,115,1900.4823333333334,0.9908712647859395,0.007015762840556091,0.0021129723735044538,1892.451,60
v27,seed0,80,2029.2666666666667,16.666666666666668,-3.5543333333332927,0.4560531675815582,0.24675324675324675,38,60,1719.2703036023424,4350.0927734375,154,2049.487666666667,0.9901336317710621,0.008132113668082575,0.0017342545608552702,2042.3790000000001,60
v27,seed0,81,1944.4333333333334,15.833333333333334,-3.501166666666626,0.44766321778297424,0.2631578947368421,40,60,1694.15414488943,4318.51904296875,152,1963.7678333333333,0.9901543860369781,0.008062731787625609,0.001782882175396307,1956.7655,60
v27,seed0,82,1666.9333333333334,11.666666666666666,-2.926166666666636,0.4014599919319153,0.24025974025974026,37,60,1790.5576162957525,4320.7578125,154,1681.5261666666668,0.9913216733568523,0.006938141610840231,0.001740185032307438,1675.6738333333335,60
v27,seed0,83,1853.1833333333334,11.666666666666666,-3.9998333333332834,0.4048466384410858,0.40594059405940597,41,60,2073.538135490795,4356.2705078125,101,1868.8498333333334,0.9916170364677954,0.006242698829288852,0.002140264702915733,1860.8501666666668,60
v27,seed0,84,1910.4666666666667,15.833333333333334,-4.247999999999944,0.41349440813064575,0.325,39,60,1680.6103591918945,4309.70849609375,120,1930.548,0.9895981175638559,0.008201470946763994,0.0022004114893801885,1922.052,60
v27,seed0,85,1572.1,10.0,-3.8908333333332847,0.4076139032840729,0.17829457364341086,23,60,1527.0368788371713,4146.833984375,129,1585.9908333333333,0.9912415424847453,0.0063052066820478685,0.0024532508332067607,1578.2091666666665,60
v27,seed0,86,1684.6666666666667,12.5,-3.896166666666622,0.40393078327178955,0.1865671641791045,25,60,1405.925942036643,4317.12841796875,134,1701.0628333333334,0.99036122220451,0.007348347018731524,0.002290430776758465,1693.2705,60
v27,seed0,87,2068.133333333333,15.833333333333334,-4.355499999999947,0.4010229706764221,0.14,21,60,1295.8510489908854,4188.26513671875,150,2088.322166666667,0.9903325101578754,0.0075818442125748,0.0020856456295496296,2079.6111666666666,60
v27,seed0,88,2027.6666666666667,18.333333333333332,-4.533999999999941,0.3557019531726837,0.18,27,60,1292.8691920979818,4129.51513671875,150,2050.534,0.9888481081838519,0.008940760471825062,0.0022111313443229624,2041.4660000000001,60
v27,seed0,89,1812.4666666666667,10.833333333333334,-4.515833333333274,0.36849701404571533,0.145985401459854,20,60,1364.7612086386575,4177.05712890625,137,1827.8158333333333,0.9916024544777715,0.005926928269122665,0.0024706172531057916,1818.7841666666666,60
v27,seed0,90,1742.45,14.166666666666666,-4.008499999999947,0.34783512353897095,0.208955223880597,28,60,1471.9986935515901,4317.45849609375,134,1760.6251666666667,0.9896768676202231,0.008046384281492435,0.0022767480982843766,1752.6081666666669,60
v27,seed0,91,2042.8,15.0,-4.786166666666606,0.3024389147758484,0.18045112781954886,24,60,1306.9437321254186,4121.28466796875,133,2062.586166666667,0.9904071078404239,0.007272423447036595,0.002320468712539414,2053.0138333333334,60
