run,seed,iter,completed_eps,mean_return,mean_len,in_progress,ip_return,ip_len,clears,loss,policy_loss,value_loss,entropy,at_entrance,tau,tau_max,trail_rate,trail_n,trail_d,ent_rate,ent_n,ent_d,truncated
v27,1,122,148,1653.7,280.4,60,1802.2,332.3,30,10.4085,0.0305,41.5167,0.2505,False,0,784,0.37,11,30,0.337,2257,6698,5229
v27,1,123,138,1643.6,272.1,60,2008.6,398.3,32,10.5643,0.3151,41.0016,0.2517,False,0,784,0.3,9,30,0.335,2266,6766,5275
v27,1,124,114,1671.6,280.2,60,2195.7,491.6,33,10.2619,-0.0172,41.1229,0.3326,False,0,784,0.17,5,30,0.334,2282,6830,5316
v27,1,125,125,1845.6,312.4,60,1806.6,373.2,42,10.6436,-0.0016,42.5866,0.2948,False,0,784,0.37,11,30,0.333,2301,6902,5354
v27,1,126,147,1752.9,275.3,60,1986.4,349.6,36,9.291,-0.0243,37.2659,0.2504,False,0,784,0.4,12,30,0.333,2322,6981,5394
v27,1,127,139,1735.0,267.1,60,2095.5,405.1,34,11.4677,0.0205,45.7945,0.299,False,0,784,0.1,3,30,0.332,2342,7060,5436
v27,1,128,149,1815.7,282.0,60,1739.4,323.7,36,9.1969,0.0187,36.718,0.2691,False,0,784,0.37,11,30,0.331,2360,7140,5473
v27,1,129,130,1917.1,307.4,60,1973.5,357.9,43,7.7568,-0.0759,31.3365,0.2823,False,0,784,0.53,16,30,0.329,2374,7213,5517
v27,1,130,153,1757.1,269.1,60,1756.0,337.8,33,8.2347,-0.0649,33.2032,0.242,False,0,784,0.3,9,30,0.328,2393,7296,5557
v27,1,131,143,1755.5,258.2,60,2097.4,408.7,32,7.9871,0.0567,31.7271,0.2774,False,0,784,0.2,6,30,0.326,2404,7369,5599
v27,1,132,129,1908.4,299.2,60,2107.9,380.6,45,8.5355,0.1789,33.4321,0.2904,False,0,784,0.4,12,30,0.326,2425,7441,5639
v27,1,133,138,1846.7,287.8,60,1777.5,361.9,32,6.214,0.0079,24.8296,0.2619,False,0,784,0.37,11,30,0.325,2447,7525,5676
