run,generation,avg_fitness,best_fitness,success_rate,episodes,vanilla_ppo_clears,approx_mean_ep_len,ppo_entropy
v27_seed0,197,1220.5257751120012,3671.281982421875,0.011299435028248588,177,2,347.1186440677966,0.09601296484470367
v27_seed0,198,1207.7013232645563,3619.75048828125,0.031413612565445025,191,6,321.67539267015707,0.06850794702768326
v27_seed0,199,1205.8637205466246,3428.483154296875,0.010256410256410256,195,2,315.0769230769231,0.09263232350349426
v27_seed0,200,1271.194735025622,3442.882568359375,0.010309278350515464,194,2,316.70103092783506,0.10667329281568527
v27_seed0,201,1227.1488071109939,3448.942626953125,0.016304347826086956,184,3,333.9130434782609,0.10122385621070862
v27_seed0,202,1155.3638738641885,3268.8837890625,0.01015228426395939,197,2,311.8781725888325,0.09195899963378906
v27_seed0,203,1265.4374223098257,4115.92724609375,0.013071895424836602,153,2,401.5686274509804,0.1479334831237793
v27_seed0,204,1215.17381587173,3523.75048828125,0.010101010101010102,198,2,310.3030303030303,0.10178755223751068
v27_seed0,205,1169.571720921716,3620.75048828125,0.009302325581395349,215,2,285.7674418604651,0.058272771537303925
v27_seed0,206,1170.3050411091515,3748.750732421875,0.014925373134328358,201,3,305.67164179104475,0.10662706196308136
v27_seed0,207,1161.9509275862315,3268.703369140625,0.0048543689320388345,206,1,298.252427184466,0.1091836541891098
v27_seed0,208,1222.6052099548945,2868.985595703125,0.0,202,0,304.15841584158414,0.09422788769006729
v27_seed0,209,1194.754863941727,3409.753662109375,0.014492753623188406,207,3,296.81159420289856,0.06176866590976715
v27_seed0,210,1207.7439177831013,3269.544189453125,0.015625,192,3,320.0,0.088521309196949
v27_seed0,211,1214.1740619194218,3228.665283203125,0.004878048780487805,205,1,299.7073170731707,0.07788670808076859
v27_seed0,212,1262.027180037475,3434.142822265625,0.014778325123152709,203,3,302.6600985221675,0.0921604186296463
v27_seed0,213,1191.882261881896,3594.71142578125,0.004739336492890996,211,1,291.18483412322274,0.0808747336268425
v27_seed0,214,1264.4489473672438,3435.67236328125,0.010471204188481676,191,2,321.67539267015707,0.11706442385911942
v27_seed0,215,1184.779520953143,3268.94384765625,0.009259259259259259,216,2,284.44444444444446,0.09235184639692307
v27_seed0,216,1276.7473569123642,3599.30224609375,0.024844720496894408,161,4,381.6149068322981,0.06980647146701813
v27_seed0,217,1187.7852269460464,3599.281982421875,0.023668639053254437,169,4,363.55029585798815,0.0702199637889862
v27_seed0,218,1220.9378549942119,3601.662353515625,0.019867549668874173,151,3,406.887417218543,0.08135689795017242
v27_seed0,219,1177.8653367396764,3442.342041015625,0.011428571428571429,175,2,351.0857142857143,0.06888186186552048
v27_seed0,220,1278.3175582373701,3557.75048828125,0.03355704697986577,149,5,412.3489932885906,0.0841967761516571
v27_seed0,221,1214.8555265679418,3444.992919921875,0.030120481927710843,166,5,370.12048192771084,0.0987573117017746
v27_seed0,222,1223.6382841812938,3587.75048828125,0.019736842105263157,152,3,404.2105263157895,0.08710464835166931
v27_seed0,223,1157.7680024646577,3620.601318359375,0.017857142857142856,168,3,365.7142857142857,0.08286537230014801
v27_seed0,224,1171.9851593195006,3621.132080078125,0.011627906976744186,172,2,357.2093023255814,0.08509780466556549
v27_seed0,225,1275.8859628295897,3607.682373046875,0.03333333333333333,150,5,409.6,0.08889232575893402
v27_seed0,226,1289.8195525524663,3748.75048828125,0.0196078431372549,153,3,401.5686274509804,0.0716063529253006
v27_seed0,227,1177.8934561989524,3428.153076171875,0.006060606060606061,165,1,372.3636363636364,0.08669637888669968
v27_seed0,228,1267.0252857951375,3619.75048828125,0.03896103896103896,154,6,398.961038961039,0.08053045719861984
